UserID,Genre,MovieInfo_RS,MovieInfo_LLM,Ratings_RS,Ratings_LLM,Rankings_RS,Rankings_LLM,RMSE_Ratings,MAE_Ratings,OverlapPercentage_Rankings,MAD_Ratings,RMSD_Ratings
55,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.47'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 2, 'Rating': '4.35'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 3, 'Rating': '4.35'}, {'Movie': 'Saving Private Ryan (1998)', 'Rank': 4, 'Rating': '4.33'}, {'Movie': 'Blade Runner (1982)', 'Rank': 5, 'Rating': '4.31'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 6, 'Rating': '4.31'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 7, 'Rating': '4.30'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 8, 'Rating': '4.29'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 9, 'Rating': '4.28'}, {'Movie': 'Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)', 'Rank': 10, 'Rating': '4.26'}]","[{'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Blade Runner (1982)', 'Rank': '2', 'Rating': '4.0'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '3', 'Rating': '4.0'}, {'Movie': 'Saving Private Ryan (1998)', 'Rank': '4', 'Rating': '3.5'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '5', 'Rating': '3.5'}, {'Movie': 'North by Northwest (1959)', 'Rank': '6', 'Rating': '3.0'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '7', 'Rating': '3.0'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': '8', 'Rating': '2.5'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '9', 'Rating': '2.5'}, {'Movie': 'Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)', 'Rank': '10', 'Rating': '2.0'}]",[4.31 4.31 4.3  4.35 4.26 4.35 4.47 4.29 4.33 4.28],[4.  4.  3.5 4.5 2.  3.  3.  2.5 3.5 2.5],[ 6  5  7  2 10  3  1  8  4  9],[ 3  2  5  1 10  7  6  9  4  8],1.304112725,1.105,20,1.105,1.304112725
56,['Action'],"[{'Movie': 'Princess Bride, The (1987)', 'Rank': 1, 'Rating': '4.64'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 2, 'Rating': '4.55'}, {'Movie': 'Matrix, The (1999)', 'Rank': 3, 'Rating': '4.48'}, {'Movie': 'North by Northwest (1959)', 'Rank': 4, 'Rating': '4.45'}, {'Movie': 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Rank': 5, 'Rating': '4.42'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 6, 'Rating': '4.41'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': 7, 'Rating': '4.41'}, {'Movie': 'Fight Club (1999)', 'Rank': 8, 'Rating': '4.40'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 9, 'Rating': '4.39'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': 10, 'Rating': '4.39'}]","[{'Movie': 'Princess Bride, The (1987)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Matrix, The (1999)', 'Rank': '2', 'Rating': '4.3'}, {'Movie': 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Rank': '3', 'Rating': '4.2'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '4', 'Rating': '4.0'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': '5', 'Rating': '3.8'}, {'Movie': 'Fight Club (1999)', 'Rank': '6', 'Rating': '3.7'}, {'Movie': 'North by Northwest (1959)', 'Rank': '7', 'Rating': '3.5'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': '8', 'Rating': '3.3'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '9', 'Rating': '2.8'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '2.5'}]",[4.55 4.41 4.39 4.4  4.48 4.45 4.64 4.39 4.41 4.42],[4.  2.5 3.7 4.3 3.5 4.5 2.8 3.3 3.8 4.2],[ 2  6  9  8  3  4  1 10  7  5],[ 4 10  6  2  7  1  9  8  5  3],1.019499877,0.804,0,0.804,1.019499877
57,['Action'],"[{'Movie': 'Great Escape, The (1963)', 'Rank': 1, 'Rating': '4.08'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 2, 'Rating': '4.07'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': 3, 'Rating': '4.00'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 4, 'Rating': '4.00'}, {'Movie': 'Army of Darkness (1993)', 'Rank': 5, 'Rating': '4.00'}, {'Movie': 'Jaws (1975)', 'Rank': 6, 'Rating': '3.98'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': 7, 'Rating': '3.96'}, {'Movie': 'Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)', 'Rank': 8, 'Rating': '3.95'}, {'Movie': 'Harry Potter and the Deathly Hallows: Part 2 (2011)', 'Rank': 9, 'Rating': '3.94'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': 10, 'Rating': '3.91'}]","[{'Movie': 'Great Escape, The (1963)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)', 'Rank': '2', 'Rating': '4.4'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '3', 'Rating': '4.3'}, {'Movie': 'Harry Potter and the Deathly Hallows: Part 2 (2011)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': '5', 'Rating': '4.2'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': '6', 'Rating': '4.2'}, {'Movie': 'Jaws (1975)', 'Rank': '7', 'Rating': '4.1'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': '8', 'Rating': '4.1'}, {'Movie': 'Army of Darkness (1993)', 'Rank': '9', 'Rating': '4.0'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '4.0'}]",[4.   4.07 4.   3.95 3.96 4.08 3.94 3.91 3.98 4.  ],[4.  4.  4.3 4.4 4.2 4.5 4.3 4.1 4.1 4.2],[ 5  2  4  8  7  1  9 10  6  3],[ 9 10  3  2  6  1  4  8  7  5],0.274135003,0.235,10,0.235,0.274135003
58,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.76'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': 2, 'Rating': '4.69'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 3, 'Rating': '4.63'}, {'Movie': 'Fight Club (1999)', 'Rank': 4, 'Rating': '4.62'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 5, 'Rating': '4.58'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 6, 'Rating': '4.58'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 7, 'Rating': '4.56'}, {'Movie': 'Jaws (1975)', 'Rank': 8, 'Rating': '4.55'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 9, 'Rating': '4.54'}, {'Movie': 'Blues Brothers, The (1980)', 'Rank': 10, 'Rating': '4.53'}]","[{'Movie': 'North by Northwest (1959)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '2', 'Rating': '4.4'}, {'Movie': 'Fight Club (1999)', 'Rank': '3', 'Rating': '4.3'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '5', 'Rating': '4.2'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '6', 'Rating': '4.2'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '7', 'Rating': '4.1'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': '8', 'Rating': '4.0'}, {'Movie': 'Blues Brothers, The (1980)', 'Rank': '9', 'Rating': '4.0'}, {'Movie': 'Jaws (1975)', 'Rank': '10', 'Rating': '3.8'}]",[4.54 4.53 4.62 4.58 4.63 4.55 4.76 4.58 4.69 4.56],[4.2 4.  4.3 4.1 4.2 3.8 4.5 4.4 4.  4.3],[ 9 10  4  6  3  8  1  5  2  7],[ 6  9  3  7  5 10  1  2  8  4],0.460478013,0.424,10,0.424,0.460478013
59,['Action'],"[{'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': 1, 'Rating': '4.78'}, {'Movie': 'North by Northwest (1959)', 'Rank': 2, 'Rating': '4.67'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': 3, 'Rating': '4.66'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 4, 'Rating': '4.64'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 5, 'Rating': '4.61'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 6, 'Rating': '4.59'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 7, 'Rating': '4.57'}, {'Movie': 'Run Lola Run (Lola rennt) (1998)', 'Rank': 8, 'Rating': '4.56'}, {'Movie': 'Butch Cassidy and the Sundance Kid (1969)', 'Rank': 9, 'Rating': '4.56'}, {'Movie': 'Kill Bill: Vol. 1 (2003)', 'Rank': 10, 'Rating': '4.55'}]","[{'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '3', 'Rating': '4.5'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '4', 'Rating': '4.0'}, {'Movie': 'North by Northwest (1959)', 'Rank': '5', 'Rating': '4.0'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': 'Butch Cassidy and the Sundance Kid (1969)', 'Rank': '7', 'Rating': '4.0'}, {'Movie': 'Kill Bill: Vol. 1 (2003)', 'Rank': '8', 'Rating': '4.0'}, {'Movie': 'Run Lola Run (Lola rennt) (1998)', 'Rank': '9', 'Rating': '3.5'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': '10', 'Rating': '3.0'}]",[4.64 4.56 4.57 4.66 4.59 4.61 4.55 4.67 4.78 4.56],[4.  4.  4.  3.  4.5 4.5 4.  4.  4.5 3.5],[ 4  9  7  3  6  5 10  2  1  8],[ 6  7  4 10  3  2  8  5  1  9],0.760085522,0.619,10,0.619,0.760085522
60,['Action'],"[{'Movie': 'Apocalypse Now (1979)', 'Rank': 1, 'Rating': '4.49'}, {'Movie': 'North by Northwest (1959)', 'Rank': 2, 'Rating': '4.45'}, {'Movie': 'Fight Club (1999)', 'Rank': 3, 'Rating': '4.42'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': 4, 'Rating': '4.39'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 5, 'Rating': '4.37'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': 6, 'Rating': '4.37'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 7, 'Rating': '4.36'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': 8, 'Rating': '4.35'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 9, 'Rating': '4.34'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 10, 'Rating': '4.33'}]","[{'Movie': 'Apocalypse Now (1979)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '3', 'Rating': '4.0'}, {'Movie': 'Fight Club (1999)', 'Rank': '4', 'Rating': '4.0'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': '5', 'Rating': '4.0'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': '6', 'Rating': '3.5'}, {'Movie': 'North by Northwest (1959)', 'Rank': '7', 'Rating': '3.0'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '8', 'Rating': '3.0'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '9', 'Rating': '2.5'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': '10', 'Rating': '2.5'}]",[4.49 4.37 4.42 4.34 4.33 4.35 4.45 4.36 4.39 4.37],[4.5 4.  4.  4.5 3.  2.5 3.  2.5 4.  3.5],[ 1  5  3  9 10  8  2  7  4  6],[ 1  3  4  2  8 10  7  9  5  6],1.095513578,0.871,20,0.871,1.095513578
61,['Action'],"[{'Movie': 'Dark Knight, The (2008)', 'Rank': 1, 'Rating': '4.57'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 2, 'Rating': '4.54'}, {'Movie': 'Blade Runner (1982)', 'Rank': 3, 'Rating': '4.52'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 4, 'Rating': '4.49'}, {'Movie': 'Fight Club (1999)', 'Rank': 5, 'Rating': '4.47'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 6, 'Rating': '4.45'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 7, 'Rating': '4.43'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 8, 'Rating': '4.42'}, {'Movie': 'North by Northwest (1959)', 'Rank': 9, 'Rating': '4.41'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 10, 'Rating': '4.41'}]","[{'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': '3', 'Rating': '4.0'}, {'Movie': 'Blade Runner (1982)', 'Rank': '4', 'Rating': '4.0'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '5', 'Rating': '4.0'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': 'Fight Club (1999)', 'Rank': '7', 'Rating': '4.0'}, {'Movie': 'North by Northwest (1959)', 'Rank': '8', 'Rating': '3.5'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '9', 'Rating': '3.5'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '10', 'Rating': '3.0'}]",[4.52 4.45 4.41 4.49 4.57 4.47 4.42 4.41 4.43 4.54],[4.  3.5 4.  4.5 4.5 4.  4.  3.5 3.  4. ],[ 3  6 10  4  1  5  8  9  7  2],[ 4  9  5  1  2  7  6  8 10  3],0.700564058,0.573,0,0.573,0.700564058
62,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.80'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 2, 'Rating': '4.75'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 3, 'Rating': '4.74'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': 4, 'Rating': '4.69'}, {'Movie': 'Jaws (1975)', 'Rank': 5, 'Rating': '4.69'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': 6, 'Rating': '4.64'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 7, 'Rating': '4.64'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 8, 'Rating': '4.61'}, {'Movie': 'Into the Wild (2007)', 'Rank': 9, 'Rating': '4.58'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 10, 'Rating': '4.58'}]","[{'Movie': 'North by Northwest (1959)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '3', 'Rating': '4.5'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': '4', 'Rating': '4.5'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '5', 'Rating': '4.0'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': '7', 'Rating': '4.0'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '8', 'Rating': '4.0'}, {'Movie': 'Jaws (1975)', 'Rank': '9', 'Rating': '3.0'}, {'Movie': 'Into the Wild (2007)', 'Rank': '10', 'Rating': '3.0'}]",[4.74 4.64 4.58 4.75 4.58 4.69 4.8  4.69 4.61 4.64],[4.  4.5 4.5 4.  3.  3.  4.5 4.5 4.  4. ],[ 3  7 10  2  9  5  1  4  8  6],[ 6  3  2  5 10  9  1  4  8  7],0.860023255,0.672,30,0.672,0.860023255
63,['Action'],"[{'Movie': 'Blade Runner (1982)', 'Rank': 1, 'Rating': '4.24'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 2, 'Rating': '4.22'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': 3, 'Rating': '4.20'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': 4, 'Rating': '4.17'}, {'Movie': 'French Connection, The (1971)', 'Rank': 5, 'Rating': '4.15'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': 6, 'Rating': '4.13'}, {'Movie': 'Outlaw Josey Wales, The (1976)', 'Rank': 7, 'Rating': '4.08'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 8, 'Rating': '4.05'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 9, 'Rating': '4.05'}, {'Movie': 'Mad Max: Fury Road (2015)', 'Rank': 10, 'Rating': '4.04'}]","[{'Movie': 'Blade Runner (1982)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Mad Max: Fury Road (2015)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'The Road Warrior (Mad Max 2) (1981)', 'Rank': '3', 'Rating': '4.4'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': 'The Princess Bride (1987)', 'Rank': '5', 'Rating': '4.3'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': '6', 'Rating': '4.2'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '7', 'Rating': '4.2'}, {'Movie': 'The Outlaw Josey Wales (1976)', 'Rank': '8', 'Rating': '4.1'}, {'Movie': 'The French Connection (1971)', 'Rank': '9', 'Rating': '4.0'}, {'Movie': 'The Boondock Saints (2000)', 'Rank': '10', 'Rating': '4.0'}]",[4.24 4.22 4.05 4.15 4.17 4.04 4.08 4.05 4.13 4.2 ],[4.5 4.2 4.3 4.5 4.2 4.  4.  4.1 4.3 4.4],[ 1  2  9  5  4 10  7  8  6  3],[ 1  7  4  2  6 10  9  8  5  3],0.182565057,0.145,40,0.145,0.182565057
64,['Action'],"[{'Movie': 'Dark Knight, The (2008)', 'Rank': 1, 'Rating': '4.40'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 2, 'Rating': '4.39'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 3, 'Rating': '4.28'}, {'Movie': 'Blues Brothers, The (1980)', 'Rank': 4, 'Rating': '4.28'}, {'Movie': 'Thing, The (1982)', 'Rank': 5, 'Rating': '4.23'}, {'Movie': 'Blade Runner (1982)', 'Rank': 6, 'Rating': '4.22'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': 7, 'Rating': '4.21'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 8, 'Rating': '4.21'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': 9, 'Rating': '4.17'}, {'Movie': 'Princess Mononoke (Mononoke-hime) (1997)', 'Rank': 10, 'Rating': '4.16'}]","[{'Movie': 'Dark Knight, The (2008)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Blade Runner (1982)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Princess Mononoke (Mononoke-hime) (1997)', 'Rank': '3', 'Rating': '4.5'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '4', 'Rating': '4.0'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '5', 'Rating': '4.0'}, {'Movie': 'Thing, The (1982)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': '7', 'Rating': '4.0'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '8', 'Rating': '4.0'}, {'Movie': 'Blues Brothers, The (1980)', 'Rank': '9', 'Rating': '3.0'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': '10', 'Rating': '3.0'}]",[4.22 4.28 4.28 4.4  4.21 4.39 4.17 4.21 4.16 4.23],[4.5 3.  4.  4.5 4.  4.  3.  4.  4.5 4. ],[ 6  4  3  1  8  2  9  7 10  5],[ 2  9  5  1  8  4 10  7  3  6],0.598573304,0.449,30,0.449,0.598573304
65,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.67'}, {'Movie': 'Blade Runner (1982)', 'Rank': 2, 'Rating': '4.50'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': 3, 'Rating': '4.46'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 4, 'Rating': '4.46'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 5, 'Rating': '4.44'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': 6, 'Rating': '4.41'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 7, 'Rating': '4.41'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': 8, 'Rating': '4.35'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 9, 'Rating': '4.35'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': 10, 'Rating': '4.34'}]","[{'Movie': 'North by Northwest (1959)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': '3', 'Rating': '4.4'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': '5', 'Rating': '4.3'}, {'Movie': 'Blade Runner (1982)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': '7', 'Rating': '4.2'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': '8', 'Rating': '4.2'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '9', 'Rating': '4.1'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': '10', 'Rating': '3.5'}]",[4.35 4.5  4.44 4.34 4.46 4.35 4.67 4.41 4.46 4.41],[4.5 4.  4.1 3.5 4.3 4.2 4.5 4.4 4.2 4.3],[ 9  2  5 10  4  8  1  6  3  7],[ 2  6  9 10  4  8  1  3  7  5],0.353624094,0.269,40,0.269,0.353624094
66,['Action'],"[{'Movie': 'Apocalypse Now (1979)', 'Rank': 1, 'Rating': '4.52'}, {'Movie': 'Run Lola Run (Lola rennt) (1998)', 'Rank': 2, 'Rating': '4.52'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 3, 'Rating': '4.51'}, {'Movie': 'North by Northwest (1959)', 'Rank': 4, 'Rating': '4.46'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 5, 'Rating': '4.42'}, {'Movie': 'Guardians of the Galaxy (2014)', 'Rank': 6, 'Rating': '4.41'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 7, 'Rating': '4.37'}, {'Movie': 'Harry Potter and the Deathly Hallows: Part 2 (2011)', 'Rank': 8, 'Rating': '4.36'}, {'Movie': 'Big Hero 6 (2014)', 'Rank': 9, 'Rating': '4.35'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 10, 'Rating': '4.35'}]","[{'Movie': 'The Dark Knight (2008)', 'Rank': '5', 'Rating': '4.8'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Das Boot (The Boat) (1981)', 'Rank': '10', 'Rating': '4.4'}, {'Movie': 'North by Northwest (1959)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': 'The Great Escape (1963)', 'Rank': '3', 'Rating': '4.2'}, {'Movie': 'The Boondock Saints (2000)', 'Rank': '7', 'Rating': '4.1'}, {'Movie': 'Run Lola Run (Lola rennt) (1998)', 'Rank': '2', 'Rating': '4.0'}, {'Movie': 'Guardians of the Galaxy (2014)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': 'Harry Potter and the Deathly Hallows: Part 2 (2011)', 'Rank': '8', 'Rating': '4.6'}, {'Movie': 'Big Hero 6 (2014)', 'Rank': '9', 'Rating': '3.8'}]",[4.52 4.35 4.37 4.35 4.42 4.51 4.41 4.36 4.46 4.52],[4.5 3.8 4.4 4.  4.6 4.3 4.  4.1 4.8 4.2],[ 1  9  7 10  5  3  6  8  4  2],[ 1  9 10  6  8  4  2  7  5  3],0.309273342,0.267,20,0.267,0.309273342
